"","Property","Price","Type","Bedrooms","Bathrooms","Station","URl","pp_pw"
"314","Grand Walk, Solebay Street, London E1",3228,"house",4,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/55396488/",201.75
"315","Grand Walk, Mile End E1",3228,"house",4,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/50865502/",201.75
"316","Emberton Court, London EC1V",2427,"flat",3,"1","Angel","https://www.zoopla.co.uk/to-rent/details/58713651/",202.25
"317","Ryland Road, London NW5",3237,"house",4,"NA","Kentish Town West","https://www.zoopla.co.uk/to-rent/details/17930216/",202.3125
"318","Monthope Road, Shoreditch E1",3250,"house",4,"2","Aldgate East","https://www.zoopla.co.uk/to-rent/details/51733747/",203.125
"319","Marcia Road, London SE1",3250,"house",4,"2","Bermondsey","https://www.zoopla.co.uk/to-rent/details/58990784/",203.125
"320","Marcia Road, London SE1",3250,"house",4,"2","Bermondsey","https://www.zoopla.co.uk/to-rent/details/58877496/",203.125
"321","Kennet Street, Wapping E1W",3250,"house",4,"2","Wapping","https://www.zoopla.co.uk/to-rent/details/40329812/",203.125
"322","Abingdon Close, Camden Square NW1",3250,"flat",4,"1","Camden Road","https://www.zoopla.co.uk/to-rent/details/56764874/",203.125
"323","Forge Place, London NW1",3250,"flat",4,"2","Kentish Town West","https://www.zoopla.co.uk/to-rent/details/58469966/",203.125
"324","Grand Walk, London E1",3261,"house",4,"2","Mile End","https://www.zoopla.co.uk/to-rent/details/58363271/",203.8125
"325","St. Anns House, Margery Street, Clerkenwell, London WC1X",2448,NA,3,"1","Angel","https://www.zoopla.co.uk/to-rent/details/40688717/",204
"326","King Square, London EC1V",2448,"flat",3,"NA","Angel","https://www.zoopla.co.uk/to-rent/details/55389449/",204
"327","Earlsferry Way, London N1",3272,"house",4,"2","Caledonian Road & Barnsbury","https://www.zoopla.co.uk/to-rent/details/58777561/",204.5
"328","Leathermarket Court, London SE1",2460,"flat",3,"2","London Bridge","https://www.zoopla.co.uk/to-rent/details/59019596/",205
"329","Conisborough, Bayham Street, Camden Town NW1",4100,"flat",5,"2","Mornington Crescent","https://www.zoopla.co.uk/to-rent/details/52614607/",205
"330","London Bridge, London Bridge SE1",2460,"flat",3,"2","London Bridge","https://www.zoopla.co.uk/to-rent/details/58626924/",205
"331","Centurion Close, London N7",3290,"flat",4,"2","Caledonian Road & Barnsbury","https://www.zoopla.co.uk/to-rent/details/58982418/",205.625
"332","Dunoon House, London N1",3293,NA,4,"2","Caledonian Road & Barnsbury","https://www.zoopla.co.uk/to-rent/details/58713715/",205.8125
"333","Percival Street, London EC1V",2470,"flat",3,"1","Farringdon","https://www.zoopla.co.uk/to-rent/details/59020206/",205.833333333333
"334","Marcia Road, London SE1",4117,"house",5,"2","Elephant & Castle","https://www.zoopla.co.uk/to-rent/details/58570348/",205.85
"335","North Gower Street, London NW1",3300,"flat",4,"1","Euston Square","https://www.zoopla.co.uk/to-rent/details/59015129/",206.25
"336","Monthope Road, London E1",3300,"house",4,"2","Aldgate East","https://www.zoopla.co.uk/to-rent/details/51698993/",206.25
"337","Rectory Square, London E1",3300,"house",4,"2","Stepney Green","https://www.zoopla.co.uk/to-rent/details/58915493/",206.25
"338","Rectory Square, London E1",3300,"house",4,"2","Stepney Green","https://www.zoopla.co.uk/to-rent/details/52632519/",206.25
"339","Royal College Street, Camden Town NW1",2475,NA,3,"2","Mornington Crescent","https://www.zoopla.co.uk/to-rent/details/58888851/",206.25
"340","Camden, London NW1",3315,"flat",4,"1","Euston","https://www.zoopla.co.uk/to-rent/details/58541818/",207.1875
"341","Murray Street, London NW1",4150,"house",5,"2","Camden Road","https://www.zoopla.co.uk/to-rent/details/58976550/",207.5
"342","Treaty Street, King's Cross, London N1",2492,"flat",3,"1","London Kings Cross","https://www.zoopla.co.uk/to-rent/details/58910015/",207.666666666667
"343","Commercial Road, Limehouse, London E14",2492,"flat",3,"NA","Limehouse","https://www.zoopla.co.uk/to-rent/details/58744041/",207.666666666667
"344","Thomas More Street, Katherine Docks E1W",2495,"flat",3,"2","Tower Gateway","https://www.zoopla.co.uk/to-rent/details/58818144/",207.916666666667
