"","Property","Price","Type","Bedrooms","Bathrooms","Station","URl","pp_pw"
"1","1",2,"3",4,"5","6","7",0.125
"2","Kingsdown Close, Bermondsey SE16",450,NA,4,"1","South Bermondsey","https://www.zoopla.co.uk/to-rent/details/58276418/",28.125
"3","Senrab Street, London E1",750,NA,6,"6","Limehouse","https://www.zoopla.co.uk/to-rent/details/53316661/",31.25
"4","Sandalwood Close Solebay Street, Mile End, Stepney Green, London E1",695,NA,5,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/49823958/",34.75
"5","Sandalwood Close Solebay Street, Mile End, Stepney Green, London E1",750,NA,5,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/49823727/",37.5
"6","Sandalwood Close Solebay Street, Mile End, Stepney Green, London E1",750,NA,5,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/49823913/",37.5
"7","Gale Street, Mile End E3",563,NA,3,"1","Devons Road","https://www.zoopla.co.uk/to-rent/details/59025402/",46.9166666666667
"8","Pratt Street, London NW1",700,NA,3,"1","Camden Town","https://www.zoopla.co.uk/to-rent/details/57039374/",58.3333333333333
"9","Oakley Square, London NW1",715,NA,3,"2","Mornington Crescent","https://www.zoopla.co.uk/to-rent/details/56606749/",59.5833333333333
"10","New Place Square, London SE16",797,NA,3,"2","Bermondsey","https://www.zoopla.co.uk/to-rent/details/58941125/",66.4166666666667
"11","Massingham Street, London E1",800,NA,3,"1","Stepney Green","https://www.zoopla.co.uk/to-rent/details/55792202/",66.6666666666667
"12","Granville Square, London WC1X",1200,NA,4,"1","London Kings Cross","https://www.zoopla.co.uk/to-rent/details/57641339/",75
"13","Hamlets Way, London E3",1733,"flat",4,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/57727054/",108.3125
"14","Wager Street, Off Burdett Road, Mile End, London E3",2250,NA,5,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/58614622/",112.5
"15","Clark Street, London E1",1408,"flat",3,"NA","Whitechapel","https://www.zoopla.co.uk/to-rent/details/58886685/",117.333333333333
"16","Ackroyd Drive, London E3",2383,NA,5,"NA","Mile End","https://www.zoopla.co.uk/to-rent/details/52118227/",119.15
"17","Shandy Street, Stepney Green/Mile End E1",1950,"flat",4,"1","Stepney Green","https://www.zoopla.co.uk/to-rent/details/55541945/",121.875
"18","Neptune Street, London SE16",1950,"flat",4,"1","Canada Water","https://www.zoopla.co.uk/to-rent/details/59007674/",121.875
"19","Micawber House, London SE16",1950,"flat",4,"2","Bermondsey","https://www.zoopla.co.uk/to-rent/details/58318014/",121.875
"20","Tawney Way, London SE16",1975,"flat",4,"2","Surrey Quays","https://www.zoopla.co.uk/to-rent/details/58938921/",123.4375
"21","Arbery Road, Bow E3",1998,"flat",4,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/58995307/",124.875
"22","Millender Walk, London SE16",1500,"flat",3,"1","Surrey Quays","https://www.zoopla.co.uk/to-rent/details/52749199/",125
"23","Shadwell, Brodlove Lane, London E1W",2000,"house",4,"1","Shadwell","https://www.zoopla.co.uk/to-rent/details/58823234/",125
"24","Malting House, Bow E3",2002,"flat",4,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/58789741/",125.125
"25","Orb Street, London SE17",1517,"flat",3,"1","Elephant & Castle","https://www.zoopla.co.uk/to-rent/details/57508083/",126.416666666667
"26","Canada Water Plough Wy, London SE16",1525,"flat",3,"1","Surrey Quays","https://www.zoopla.co.uk/to-rent/details/57335266/",127.083333333333
"27","Alphabet Square, Bow, London E3",3142,"house",6,"2","Langdon Park","https://www.zoopla.co.uk/to-rent/details/58861651/",130.916666666667
"28","Alphabet Square, London E3",3142,"house",6,"2","Devons Road","https://www.zoopla.co.uk/to-rent/details/58782752/",130.916666666667
"29","Amina Way, London SE16",2100,"house",4,"1","Bermondsey","https://www.zoopla.co.uk/to-rent/details/51323893/",131.25
"30","Jubilee Street, London E1",1585,"flat",3,"1","Shadwell","https://www.zoopla.co.uk/to-rent/details/58909534/",132.083333333333
"31","Gilbert House, London E2",1600,NA,3,"1","Bethnal Green","https://www.zoopla.co.uk/to-rent/details/58443195/",133.333333333333
"32","Rhodeswell Road, London E14",2700,"flat",5,"1","Limehouse","https://www.zoopla.co.uk/to-rent/details/58903905/",135
"33","Brune Street, Spitalfields, London E1",2700,"flat",5,"1","Aldgate East","https://www.zoopla.co.uk/to-rent/details/58848485/",135
"34","Kingward House, Hanbury Street E1",2700,"flat",5,"1","Whitechapel","https://www.zoopla.co.uk/to-rent/details/58641393/",135
"35","Rotherhithe New Road, London SE16",1625,NA,3,"1","Surrey Quays","https://www.zoopla.co.uk/to-rent/details/58888977/",135.416666666667
"36","Camden Square, London NW1",2167,"flat",4,"2","Camden Road","https://www.zoopla.co.uk/to-rent/details/58273195/",135.4375
"37","Knapp Road, London E3",2200,"flat",4,"1","Devons Road","https://www.zoopla.co.uk/to-rent/details/59034513/",137.5
"38","Marquis Road, London NW1",2200,"flat",4,"NA","Caledonian Road","https://www.zoopla.co.uk/to-rent/details/58955691/",137.5
"39","Solebay St, Off Mile End Road, London E1",2200,NA,4,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/58886568/",137.5
"40","Harriott House, London E1",2200,"flat",4,"1","Stepney Green","https://www.zoopla.co.uk/to-rent/details/58787219/",137.5
"41","Clark Street, London E1",1650,"flat",3,"1","Whitechapel","https://www.zoopla.co.uk/to-rent/details/58750790/",137.5
"42","Forida Street, London E2",2200,NA,4,"1","Bethnal Green","https://www.zoopla.co.uk/to-rent/details/58716972/",137.5
"43","Kingsdown Close, Bermondsey SE16",2200,"flat",4,"1","South Bermondsey","https://www.zoopla.co.uk/to-rent/details/58611468/",137.5
"44","Earlsferry Way, London N1",2200,NA,4,"2","Caledonian Road & Barnsbury","https://www.zoopla.co.uk/to-rent/details/58267365/",137.5
"45","Kedleston Walk, London E2",1650,NA,3,"1","Bethnal Green","https://www.zoopla.co.uk/to-rent/details/57853630/",137.5
"46","Gilbert House, Usk Street, London E2",1675,NA,3,"1","Bethnal Green","https://www.zoopla.co.uk/to-rent/details/51782791/",139.583333333333
"47","Bow Common Lane, Bow, London E3",2249,NA,4,"NA","Devons Road","https://www.zoopla.co.uk/to-rent/details/58564085/",140.5625
"48","Sandalwood Close, Stepney Green/Mile End E1",1690,NA,3,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/57733096/",140.833333333333
"49","Wager Street, London E3",1700,"flat",3,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/58994796/",141.666666666667
"50","Hollybush Gardens, London E2",1700,"flat",3,"1","Bethnal Green","https://www.zoopla.co.uk/to-rent/details/58818618/",141.666666666667
"51","New North Road, Islington, London N1",1712,"flat",3,"1","Essex Road","https://www.zoopla.co.uk/to-rent/details/58089738/",142.666666666667
"52","Windermere House, Mile End E3",2297,"flat",4,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/59002411/",143.5625
"53","Eric Street, London E3",2297,NA,4,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/58923309/",143.5625
"54","Oxley Close, London SE1",2297,"flat",4,"2","South Bermondsey","https://www.zoopla.co.uk/to-rent/details/55305578/",143.5625
"55","Knapp Road, London E3",2300,"flat",4,"1","Devons Road","https://www.zoopla.co.uk/to-rent/details/57452601/",143.75
"56","Wickford Street, London E1",1750,"flat",3,"1","Bethnal Green","https://www.zoopla.co.uk/to-rent/details/58782271/",145.833333333333
"57","Farthing Field, London E1W",1750,NA,3,"1","Wapping","https://www.zoopla.co.uk/to-rent/details/58103716/",145.833333333333
"58","Portelet Road, London E1",1755,"flat",3,"1","Stepney Green","https://www.zoopla.co.uk/to-rent/details/51303883/",146.25
"59","Potier Street, London SE1",2362,"flat",4,"1","Borough","https://www.zoopla.co.uk/to-rent/details/58894516/",147.625
"60","Bush Road, Surrey Quays SE8",2383,"house",4,"1","Surrey Quays","https://www.zoopla.co.uk/to-rent/details/58956892/",148.9375
"61","Caledonian Road, London N1",2383,"flat",4,"1","Caledonian Road & Barnsbury","https://www.zoopla.co.uk/to-rent/details/57767426/",148.9375
"62","Caledonian Road, London N7",2383,"flat",4,"1","Caledonian Road & Barnsbury","https://www.zoopla.co.uk/to-rent/details/56445099/",148.9375
"63","Burbage Close, London SE1",2383,"flat",4,"1","Borough","https://www.zoopla.co.uk/to-rent/details/55041668/",148.9375
"64","Lagado Mews, London SE16",2990,"house",5,"5","Rotherhithe","https://www.zoopla.co.uk/to-rent/details/58957156/",149.5
"65","Bayham Street, Camden NW1",2395,NA,4,"1","Camden Town","https://www.zoopla.co.uk/to-rent/details/58196290/",149.6875
"66","Chaucer Drive, London SE1",1798,"flat",3,"1","Bermondsey","https://www.zoopla.co.uk/to-rent/details/56375355/",149.833333333333
"67","Brock Place, London E3",1798,"flat",3,"1","Devons Road","https://www.zoopla.co.uk/to-rent/details/58569177/",149.833333333333
"68","Tompion Street, Clerkenwell, London EC1V",1799,"flat",3,"1","Farringdon","https://www.zoopla.co.uk/to-rent/details/58349694/",149.916666666667
"69","Sandalwood Close, London E1",1800,NA,3,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/59014934/",150
"70","Shandy Street, Stepney Green/Mile End E1",1800,"flat",3,"1","Stepney Green","https://www.zoopla.co.uk/to-rent/details/55281285/",150
"71","Bramcote Grove, Southwark, London SE16",1800,"flat",3,"1","South Bermondsey","https://www.zoopla.co.uk/to-rent/details/48404242/",150
"72","Princess Street, London SE1",1800,"flat",3,"1","Elephant & Castle","https://www.zoopla.co.uk/to-rent/details/58696521/",150
"73","Hampton Street, London SE17",2400,"house",4,"3","Elephant & Castle","https://www.zoopla.co.uk/to-rent/details/58696173/",150
"74","Brunswick Quay, London SE16",2400,"flat",4,"2","Surrey Quays","https://www.zoopla.co.uk/to-rent/details/58306159/",150
"75","Clark Street, London E1",1800,"flat",3,"1","Shadwell","https://www.zoopla.co.uk/to-rent/details/58248453/",150
"76","Plender Street, London NW1",1800,"property",3,"1","Mornington Crescent","https://www.zoopla.co.uk/to-rent/details/58180765/",150
"77","Jamaica Road, London SE16",2400,NA,4,"NA","Bermondsey","https://www.zoopla.co.uk/to-rent/details/56984609/",150
"78","Ann Moss Way, Canada Water, London SE16",2401,"house",4,"2","Canada Water","https://www.zoopla.co.uk/to-rent/details/58926051/",150.0625
"79","Brunswick Quay, Surrey Quays SE16",2405,"property",4,"2","Surrey Quays","https://www.zoopla.co.uk/to-rent/details/52835636/",150.3125
"80","Vallance Road, Whitechapel, London E1",3033,"house",5,"NA","Whitechapel","https://www.zoopla.co.uk/to-rent/details/59011550/",151.65
"81","Cleveland Way, London E1",1820,"flat",3,"1","Stepney Green","https://www.zoopla.co.uk/to-rent/details/59019453/",151.666666666667
"82","Potier Street, London SE1",2427,"flat",4,"NA","Borough","https://www.zoopla.co.uk/to-rent/details/58491026/",151.6875
"83","Camelot House, London NW1",1825,"flat",3,"1","Caledonian Road","https://www.zoopla.co.uk/to-rent/details/59017911/",152.083333333333
"84","Commerical Road, London E1",2450,"flat",4,"1","Shadwell","https://www.zoopla.co.uk/to-rent/details/58906265/",153.125
"85","Oxley Close, Southwark SE1",2450,"house",4,"2","Bermondsey","https://www.zoopla.co.uk/to-rent/details/58632514/",153.125
"86","Prusome Street, London E1W",2450,NA,4,"1","Wapping","https://www.zoopla.co.uk/to-rent/details/48444833/",153.125
"87","Torrington Place, London E1W",1842,"house",3,"1","Wapping","https://www.zoopla.co.uk/to-rent/details/58836417/",153.5
"88","Diprose Court, London E3",1850,"flat",3,"2","Devons Road","https://www.zoopla.co.uk/to-rent/details/59019524/",154.166666666667
"89","Sherwood Gardens, London SE16",1850,"property",3,"NA","South Bermondsey","https://www.zoopla.co.uk/to-rent/details/40001132/",154.166666666667
"90","Old Kent Road, London SE1",1850,"flat",3,"2","Bermondsey","https://www.zoopla.co.uk/to-rent/details/58820390/",154.166666666667
"91","Bush Road, London, Greater London SE8",1850,"flat",3,"1","Surrey Quays","https://www.zoopla.co.uk/to-rent/details/58734204/",154.166666666667
"92","London, Mile End E3",3100,"house",5,"2","Mile End","https://www.zoopla.co.uk/to-rent/details/16160446/",155
"93","Clark Street Stepney Green, London E1",2492,"property",4,"1","Shadwell","https://www.zoopla.co.uk/to-rent/details/58829642/",155.75
"94","Burbage Close, London SE1",2492,"flat",4,"1","Borough","https://www.zoopla.co.uk/to-rent/details/58792282/",155.75
"95","Burbage Close, Borough SE1",2492,"flat",4,"1","Borough","https://www.zoopla.co.uk/to-rent/details/58618298/",155.75
"96","Burbage Close, London SE1",2492,"flat",4,"1","Borough","https://www.zoopla.co.uk/to-rent/details/52977151/",155.75
"97","Oxley Close, London SE1",2500,"flat",4,"1","Bermondsey","https://www.zoopla.co.uk/to-rent/details/59034448/",156.25
"98","Old Montague Street, Aldgate East/Whitechapel E1",2500,"house",4,"1","Whitechapel","https://www.zoopla.co.uk/to-rent/details/58879688/",156.25
"99","Boyton Close, London E1",2500,NA,4,"2","Stepney Green","https://www.zoopla.co.uk/to-rent/details/58876760/",156.25
"100","Bayham Street, Camden NW1",2500,NA,4,"2","Camden Town","https://www.zoopla.co.uk/to-rent/details/57014291/",156.25
"101","West Arbour Street, London E1",2500,"house",4,"1","Limehouse","https://www.zoopla.co.uk/to-rent/details/56988562/",156.25
"102","Tabard Street, Borough SE1",1885,"flat",3,"1","Borough","https://www.zoopla.co.uk/to-rent/details/58929667/",157.083333333333
"103","Old Church Road, London E1",1895,NA,3,"1","Limehouse","https://www.zoopla.co.uk/to-rent/details/58655165/",157.916666666667
"104","Southwark Park Road, Bermondsey SE16",3792,"house",6,"2","Bermondsey","https://www.zoopla.co.uk/to-rent/details/58582812/",158
"105","Joseph Street, London E3",1900,"flat",3,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/58961051/",158.333333333333
"106","White Horse Lane, London E1",1900,"house",3,"1","Stepney Green","https://www.zoopla.co.uk/to-rent/details/51349558/",158.333333333333
"107","Swaton Road, London E3",1900,"house",3,"1","Devons Road","https://www.zoopla.co.uk/to-rent/details/49284318/",158.333333333333
"108","Duckett Street, Stepney, London E1",1900,"house",3,"1","Stepney Green","https://www.zoopla.co.uk/to-rent/details/58041467/",158.333333333333
"109","Wickford Street, Stepney, London E1",1907,"flat",3,"NA","Bethnal Green","https://www.zoopla.co.uk/to-rent/details/58525301/",158.916666666667
"110","Oxley Close, London SE1",2550,"house",4,"NA","Bermondsey","https://www.zoopla.co.uk/to-rent/details/51799848/",159.375
"111","Oxley Close, Southwark SE1",2550,"property",4,"1","Bermondsey","https://www.zoopla.co.uk/to-rent/details/58561645/",159.375
"112","Oxley Close, Southwark, London SE1",2555,NA,4,"2","Bermondsey","https://www.zoopla.co.uk/to-rent/details/58621019/",159.6875
"113","Oxley Close, Southwark, London SE1",2555,NA,4,"1","Bermondsey","https://www.zoopla.co.uk/to-rent/details/58621014/",159.6875
"114","Flores Court, 20 Dongola Road, Stepney Green, Whitechaple, Mile End, London E1",2557,"flat",4,"NA","Stepney Green","https://www.zoopla.co.uk/to-rent/details/59011593/",159.8125
"115","Oxley Close, South Wark, London SE1",2600,"house",4,"1","Bermondsey","https://www.zoopla.co.uk/to-rent/details/59014465/",162.5
"116","Cambridge Heath Road, Whitechapel, London E1",2600,"flat",4,"NA","Bethnal Green","https://www.zoopla.co.uk/to-rent/details/40834766/",162.5
"117","Yaldham House, London SE1",2600,"house",4,"2","Elephant & Castle","https://www.zoopla.co.uk/to-rent/details/58987527/",162.5
"118","Oxley Close, London SE1",2600,"flat",4,"1","Bermondsey","https://www.zoopla.co.uk/to-rent/details/58961169/",162.5
"119","Oxley Close, Bermondsey, London SE1",2600,"house",4,"2","Bermondsey","https://www.zoopla.co.uk/to-rent/details/58949694/",162.5
"120","New Place Square, London SE16",2600,"flat",4,"2","Bermondsey","https://www.zoopla.co.uk/to-rent/details/56175163/",162.5
"121","Hollybush House, Hollybush Gardens, London E2",1950,"flat",3,"1","Bethnal Green","https://www.zoopla.co.uk/to-rent/details/58846973/",162.5
"122","Clark Street, London E1",1950,"flat",3,"1","Whitechapel","https://www.zoopla.co.uk/to-rent/details/58744328/",162.5
"123","Oxley Close, Southwark, London SE1",2600,"property",4,"NA","Bermondsey","https://www.zoopla.co.uk/to-rent/details/58703203/",162.5
"124","Oxley Close, London SE1",2600,"house",4,"2","Bermondsey","https://www.zoopla.co.uk/to-rent/details/58702965/",162.5
"125","Liverpool Road, London N7",2600,"flat",4,"2","Holloway Road","https://www.zoopla.co.uk/to-rent/details/58660368/",162.5
"126","Oxley Close, London SE1",2600,"house",4,"2","Bermondsey","https://www.zoopla.co.uk/to-rent/details/58642181/",162.5
"127","Oxley Close, London SE1",2600,"house",4,"2","Bermondsey","https://www.zoopla.co.uk/to-rent/details/58595307/",162.5
"128","White Horse Lane, London E1",1950,"house",3,"1","Stepney Green","https://www.zoopla.co.uk/to-rent/details/58543738/",162.5
"129","Camelot House, London NW1",2600,"flat",4,"1","Caledonian Road","https://www.zoopla.co.uk/to-rent/details/58543101/",162.5
"130","Clovelly Way, London E1",1950,NA,3,"1","Shadwell","https://www.zoopla.co.uk/to-rent/details/58541862/",162.5
"131","Alphabet Square, Hawgood Street, Mile End, London E3",3900,"house",6,"2","Devons Road","https://www.zoopla.co.uk/to-rent/details/51984401/",162.5
"132","Jupiter Way, London N7",2600,"house",4,"NA","Caledonian Road","https://www.zoopla.co.uk/to-rent/details/55510684/",162.5
"133","Walvisch House, Bow Common Lane, Mile End, London E3",3900,"house",6,"2","Mile End","https://www.zoopla.co.uk/to-rent/details/54881533/",162.5
"134","Redmans Road, London E1",3900,"house",6,"NA","Stepney Green","https://www.zoopla.co.uk/to-rent/details/17332274/",162.5
"135","Caledonian Road, London N1",1950,"flat",3,"1","Caledonian Road & Barnsbury","https://www.zoopla.co.uk/to-rent/details/58017861/",162.5
"136","Surr Street, London N7",2600,NA,4,"NA","Caledonian Road","https://www.zoopla.co.uk/to-rent/details/50947027/",162.5
"137","Brodie House, Coopers Road, London SE1",1950,"flat",3,"1","South Bermondsey","https://www.zoopla.co.uk/to-rent/details/55784801/",162.5
"138","Kingward House, Greatorex Street, Whitechapel E1",1950,"flat",3,"1","Aldgate East","https://www.zoopla.co.uk/to-rent/details/55141287/",162.5
"139","Abbeyfield Road, London SE16",3298,"house",5,"2","South Bermondsey","https://www.zoopla.co.uk/to-rent/details/58669723/",164.9
"140","Abbeyfield Road, Bermondsey SE16",3300,"property",5,"1","South Bermondsey","https://www.zoopla.co.uk/to-rent/details/54784124/",165
"141","Marcia Road, London SE1",2643,"house",4,"1","Bermondsey","https://www.zoopla.co.uk/to-rent/details/59036889/",165.1875
"142","Bovet Court, 164 Harford Street, Stepney Green, Mile End, London E1",2643,"flat",4,"NA","Stepney Green","https://www.zoopla.co.uk/to-rent/details/58947024/",165.1875
"143","Harford Street, Stepney Green E1",1995,"flat",3,"2","Limehouse","https://www.zoopla.co.uk/to-rent/details/59019720/",166.25
"144","Milton Close, London SE1",3995,"flat",6,"1","Bermondsey","https://www.zoopla.co.uk/to-rent/details/56456807/",166.458333333333
"145","Wager Street, Mile End E3",2000,NA,3,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/59034863/",166.666666666667
"146","Globe Road, London E1",2000,"flat",3,"1","Stepney Green","https://www.zoopla.co.uk/to-rent/details/59033234/",166.666666666667
"147","Southwark Park Road, Bermondsey SE16",2000,NA,3,"1","Bermondsey","https://www.zoopla.co.uk/to-rent/details/58894450/",166.666666666667
"148","Smith Close, London SE16",2000,"house",3,"3","Rotherhithe","https://www.zoopla.co.uk/to-rent/details/58884777/",166.666666666667
"149","Hanbury Street, London E1",2000,"flat",3,"1","Whitechapel","https://www.zoopla.co.uk/to-rent/details/58838231/",166.666666666667
"150","Spelman Street, London E1",2000,"flat",3,"1","Aldgate East","https://www.zoopla.co.uk/to-rent/details/58836325/",166.666666666667
"151","Raven Row, Whitechapel E1",4000,"house",6,"2","Whitechapel","https://www.zoopla.co.uk/to-rent/details/58796695/",166.666666666667
"152","Bancroft Road, London E1",4000,"house",6,"2","Stepney Green","https://www.zoopla.co.uk/to-rent/details/45904427/",166.666666666667
"153","Lamb Court, Narrow Street E14",2000,"flat",3,"2","Limehouse","https://www.zoopla.co.uk/to-rent/details/58696056/",166.666666666667
"154","Tooley Street, London SE1",2000,"flat",3,"1","London Bridge","https://www.zoopla.co.uk/to-rent/details/58460450/",166.666666666667
"155","Raven Row, London E1",4000,"house",6,"2","Whitechapel","https://www.zoopla.co.uk/to-rent/details/58052028/",166.666666666667
"156","86 - 87 Grange Road, Tower Bridge SE1",2000,"flat",3,"1","Bermondsey","https://www.zoopla.co.uk/to-rent/details/55478995/",166.666666666667
"157","Rydston Close, London N7",2002,"flat",3,"1","Caledonian Road & Barnsbury","https://www.zoopla.co.uk/to-rent/details/51720301/",166.833333333333
"158","Victoria Park Square, London E2",3350,NA,5,"2","Bethnal Green","https://www.zoopla.co.uk/to-rent/details/58765861/",167.5
"159","Senrab Street, London E1",3358,"house",5,"2","Limehouse","https://www.zoopla.co.uk/to-rent/details/58907924/",167.9
"160","Jamaica Street, Whitechapel, London E1",3358,NA,5,"NA","Stepney Green","https://www.zoopla.co.uk/to-rent/details/55925429/",167.9
"161","Lynton Road, London SE1",2687,"house",4,"NA","Bermondsey","https://www.zoopla.co.uk/to-rent/details/55272409/",167.9375
"162","Chamberlain House, Cable Street, Whitechapel, Aldgate, Shadwell, Wapping, Tower Hill, London E1",2024,NA,3,"NA","Shadwell","https://www.zoopla.co.uk/to-rent/details/31528944/",168.666666666667
"163","Stepney Green, London E1",2700,"house",4,"1","Limehouse","https://www.zoopla.co.uk/to-rent/details/59035960/",168.75
"164","Marcia Road, London SE1",3380,"house",5,"NA","Bermondsey","https://www.zoopla.co.uk/to-rent/details/51882757/",169
"165","Torbay Court Clarence Way, Camden NW1",2708,"flat",4,"1","Camden Road","https://www.zoopla.co.uk/to-rent/details/59004904/",169.25
"166","Kennet Street, London E1W",2708,"house",4,"2","Wapping","https://www.zoopla.co.uk/to-rent/details/55249570/",169.25
"167","Gunwhale Close, London SE16",2037,"house",3,"2","Rotherhithe","https://www.zoopla.co.uk/to-rent/details/58982236/",169.75
"168","Avis Square, Stepney Green, Limehouse, Shadwell, London E1",2730,"flat",4,"NA","Limehouse","https://www.zoopla.co.uk/to-rent/details/59011594/",170.625
"169","Salmon Lane, Ashton Street, Limehouse, Stepney Green, London E14",2730,"house",4,"NA","Limehouse","https://www.zoopla.co.uk/to-rent/details/58947026/",170.625
"170","Avis Square, Stepney E1",2730,"house",4,"1","Limehouse","https://www.zoopla.co.uk/to-rent/details/51655771/",170.625
"171","Cable Street, Shadwell E1",2050,NA,3,"2","Shadwell","https://www.zoopla.co.uk/to-rent/details/59027522/",170.833333333333
"172","St. Stephens Road, London E3",2050,NA,3,"2","Mile End","https://www.zoopla.co.uk/to-rent/details/59010340/",170.833333333333
"173","Chamberlain House, Cable Street, Whitechaple, Shadwell, London E1",2050,"flat",3,"NA","Shadwell","https://www.zoopla.co.uk/to-rent/details/57607385/",170.833333333333
"174","Maissonette, London N1",2058,"flat",3,"1","Caledonian Road & Barnsbury","https://www.zoopla.co.uk/to-rent/details/58412136/",171.5
"175","Rhyl Street, London NW5",3466,"flat",5,"NA","Kentish Town West","https://www.zoopla.co.uk/to-rent/details/51916493/",173.3
"176","Mackenzie Road, London N7",2773,"house",4,"NA","Caledonian Road","https://www.zoopla.co.uk/to-rent/details/58559260/",173.3125
"177","Westport Street, Stepney Green E1",2080,"flat",3,"2","Limehouse","https://www.zoopla.co.uk/to-rent/details/58887172/",173.333333333333
"178","Redmans Road, London E1",2080,"flat",3,"2","Stepney Green","https://www.zoopla.co.uk/to-rent/details/58648735/",173.333333333333
"179","Bath Terrace, London SE1",2080,"flat",3,"1","Elephant & Castle","https://www.zoopla.co.uk/to-rent/details/44435987/",173.333333333333
"180","Elim Estate, Weston Street, London SE1",2080,"flat",3,"1","Borough","https://www.zoopla.co.uk/to-rent/details/44798829/",173.333333333333
"181","Rhyl Street, Kentish Town NW5",3467,"flat",5,"2","Kentish Town West","https://www.zoopla.co.uk/to-rent/details/55252890/",173.35
"182","Tredegar Rd, Bow E3",4170,"house",6,"2","Bow Road","https://www.zoopla.co.uk/to-rent/details/59007672/",173.75
"183","Frankland Close, Bermondsey, London SE16",2795,"house",4,"2","South Bermondsey","https://www.zoopla.co.uk/to-rent/details/58775379/",174.6875
"184","Avis Square, Stepney Green, Limehouse, Shadwell, London E1",2795,"house",4,"NA","Limehouse","https://www.zoopla.co.uk/to-rent/details/58760309/",174.6875
"185","Lynton Road, Bermondsey, London SE1",2799,"flat",4,"2","Bermondsey","https://www.zoopla.co.uk/to-rent/details/54992314/",174.9375
"186","Fellows Court - Shoreditch, London E2",2100,"flat",3,"1","Hoxton","https://www.zoopla.co.uk/to-rent/details/59014425/",175
"187","Spelman Street, Spitalfields, London E1",2100,"flat",3,"1","Aldgate East","https://www.zoopla.co.uk/to-rent/details/58988987/",175
"188","11 Eric Street, London E3",2800,"house",4,"2","Mile End","https://www.zoopla.co.uk/to-rent/details/55128718/",175
"189","Shearling Way, London N7",2800,"house",4,"1","Caledonian Road","https://www.zoopla.co.uk/to-rent/details/56372041/",175
"190","Setchell Way, London Bridge SE1",2102,"flat",3,"1","Bermondsey","https://www.zoopla.co.uk/to-rent/details/58877779/",175.166666666667
"191","Camden Walk, London N1",2817,"flat",4,"1","Angel","https://www.zoopla.co.uk/to-rent/details/58877196/",176.0625
"192","York Way, Camden N7",2817,NA,4,"2","Caledonian Road","https://www.zoopla.co.uk/to-rent/details/51538287/",176.0625
"193","Dickens Estate, London, Greater London SE1",2128,NA,3,"1","Bermondsey","https://www.zoopla.co.uk/to-rent/details/45152091/",177.333333333333
"194","Regan Way, London N1",2850,"flat",4,"2","Hoxton","https://www.zoopla.co.uk/to-rent/details/59033567/",178.125
"195","Cannon Street Road, London E1",2860,"flat",4,"3","Shadwell","https://www.zoopla.co.uk/to-rent/details/58275795/",178.75
"196","Shaftesbury Street, London N1",2145,NA,3,"2","Old Street","https://www.zoopla.co.uk/to-rent/details/51806415/",178.75
"197","Madron Street, London SE17",2149,"property",3,"2","Elephant & Castle","https://www.zoopla.co.uk/to-rent/details/58139424/",179.083333333333
"198","Buxton Street, London E1",2150,"house",3,"2","Whitechapel","https://www.zoopla.co.uk/to-rent/details/48828056/",179.166666666667
"199","Cragie House, London SE1",2150,NA,3,"1","Bermondsey","https://www.zoopla.co.uk/to-rent/details/59016942/",179.166666666667
"200","Tadworth House, London SE1",2150,"flat",3,"1","Southwark","https://www.zoopla.co.uk/to-rent/details/58909805/",179.166666666667
"201","Thomas More Street, London E1W",2158,"flat",3,"1","Tower Gateway","https://www.zoopla.co.uk/to-rent/details/58851604/",179.833333333333
"202","Simms Road, London SE1",3600,"house",5,"2","Bermondsey","https://www.zoopla.co.uk/to-rent/details/52426422/",180
"203","Corporation Street, London N7",4333,"property",6,"2","Caledonian Road","https://www.zoopla.co.uk/to-rent/details/59029534/",180.541666666667
"204","Corporation Street, London N7",4333,"house",6,"2","Caledonian Road","https://www.zoopla.co.uk/to-rent/details/58982417/",180.541666666667
"205","Marcia Road, Elephant And Castle SE1",4333,"house",6,"2","Bermondsey","https://www.zoopla.co.uk/to-rent/details/56025790/",180.541666666667
"206","Mornington Grove, Bow, London E3",4334,"property",6,"3","Bow Road","https://www.zoopla.co.uk/to-rent/details/58966134/",180.583333333333
"207","Lydford, London NW1",2167,"flat",3,"1","Mornington Crescent","https://www.zoopla.co.uk/to-rent/details/58799819/",180.583333333333
"208","Rochester Road, London NW1",2167,NA,3,"1","Camden Road","https://www.zoopla.co.uk/to-rent/details/43033591/",180.583333333333
